,Code,channel,comments,engagement_anger,engagement_haha,engagement_like,engagement_love,engagement_sorry,engagement_wow,link,postId,reach,shares,text,time,type
364,0,SRF News,4,1,0,7,0,38,0,http://www.facebook.com/permalink.php?story_fbid=1548476008600708&id=289943751120613,289943751120613_1548476008600708,6603,1,Schlimmer kann es nicht kommen. Dieser Mann findet die Leiche seiner Mutter unter den Trümmern ihres Hauses. ^mk,15.02.2018 09:24:46,Video
365,0,SRF Kultur,0,0,0,3,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1708040069257806&id=106604179401411,106604179401411_1708040069257806,1855,0,,15.02.2018 09:20:34,Link
366,0,SRF Sport,20,0,0,412,13,1,4,http://www.facebook.com/permalink.php?story_fbid=2139161759442290&id=126546190703867,126546190703867_2139161759442290,12427,8,Zweites Diplom für Nathalie von Siebenthal 📜! Die Schweizerin zeigt als 6. auch über 10 km Skating eine starke Leistung. Gold geht an Norwegen.,15.02.2018 08:46:47,Link
367,0,SRF Sport,2,0,0,92,3,0,1,http://www.facebook.com/permalink.php?story_fbid=2139151736109959&id=126546190703867,126546190703867_2139151736109959,21472,11,"In unserer täglichen Serie stellen wir euch SRG-Mitarbeiter vor. Wir begleiten dabei Leute, welche dafür sorgen, dass ihr zuhause Olympia geniessen könnt. In der 7. Folge: Joëlle Lagler, Administration und Logistik/SRG.",15.02.2018 08:38:43,Video
368,0,SRF 3,3,0,0,6,1,0,0,http://www.facebook.com/permalink.php?story_fbid=10155644567338402&id=48486263401,48486263401_10155644567338402,19941,1,Philippe Gerber 5G Internet und «Finger Hearts» - so tickt das Multimedia-Land Südkorea!,15.02.2018 08:29:55,Video
369,0,SRF News,13,3,1,10,1,17,0,http://www.facebook.com/permalink.php?story_fbid=1548427085272267&id=289943751120613,289943751120613_1548427085272267,6965,6,"Ein 19-Jähriger schiesst an einer High School in Florida um sich. 17 Menschen sterben, darunter auch Schüler. Der Täter ist gefasst. ^lvm",15.02.2018 08:07:36,Video
370,0,SRF DOK,2,7,0,33,0,22,4,http://www.facebook.com/permalink.php?story_fbid=10156724264275348&id=233410473368138,233410473368138_10156724264275348,15665,33,"Venezuela ist das Land mit den grössten bekannten Erdölreserven der Welt – unter dem südamerikanischen Land lagert ein grösserer Reichtum als im Gestein Saudiarabiens. Aber oberhalb, dort wo die Menschen leben, herrscht bittere Not.",15.02.2018 07:14:00,Video
371,0,SRF News,5,5,0,7,0,17,0,http://www.facebook.com/permalink.php?story_fbid=1548396081942034&id=289943751120613,289943751120613_1548396081942034,3036,2,An einer Schule in Florida hat ein Mann mit einer halbautomatischen Waffe um sich geschossen. ^sk,15.02.2018 07:11:45,Link
372,0,SRF Kultur,3,0,0,8,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1707143082680838&id=106604179401411,106604179401411_1707143082680838,1073,0,In letzter Zeit erscheinen weniger Posts von SRF Kultur in deiner Timeline? Das kannst du ändern. Wir zeigen wie.,15.02.2018 07:00:00,Video
373,0,SRF Sport,2,1,0,83,3,2,0,http://www.facebook.com/permalink.php?story_fbid=2139080689450397&id=126546190703867,126546190703867_2139080689450397,6069,4,🥇 Die Amerikanerin Mikaela Shiffrin setzt sich vor Ragnhild Mowinckel (No) und Federica Brignone (It) im Riesenslalom durch. Wendy Holdener wird 9.,15.02.2018 06:59:34,Link
374,0,SRF Sport,34,0,3,1256,39,3,19,http://www.facebook.com/permalink.php?story_fbid=2139059376119195&id=126546190703867,126546190703867_2139059376119195,68241,69,Mit dieser Fahrt fuhr Beat Feuz zu Olympia-Bronze.,15.02.2018 06:31:17,Video
375,0,SRF 3,4,0,0,294,8,0,3,http://www.facebook.com/permalink.php?story_fbid=10155644416368402&id=48486263401,48486263401_10155644416368402,11130,8,"Das sind mal gute Nachrichten, um in den Tag zu starten! 😎🇨🇭👏 Well done, Beat Feuz! #srfpyeongchang #downhill #GueteMorgäSchwiiz",15.02.2018 06:01:58,Photo
376,0,SRF Sport,13,0,1,474,10,0,0,http://www.facebook.com/permalink.php?story_fbid=2138993126125820&id=126546190703867,126546190703867_2138993126125820,32829,14,"Zum Olympiasieg hat es um 0,18 Sekunden nicht gereicht. «Ich werde auch mit Bronze gut einschlafen können», meint Beat Feuz nach dem Bronze-Gewinn.",15.02.2018 05:15:40,Video
377,0,SRF Sport,52,1,4,2880,61,2,28,http://www.facebook.com/permalink.php?story_fbid=2138970042794795&id=126546190703867,126546190703867_2138970042794795,58896,112,Nur Aksel Svindal und Kjetil Jansrud sind schneller als Beat Feuz.,15.02.2018 04:42:10,Photo
378,0,SRF Sport,10,0,0,46,3,0,0,http://www.facebook.com/permalink.php?story_fbid=2138790792812720&id=126546190703867,126546190703867_2138790792812720,9801,0,"Strahlender Sonnenschein in Yongpyong und Jeongseon und viel wichtiger noch: kaum Wind: Die Ski-Rennen können stattfinden. Hier der Zeitplan:

02:00 Uhr: 1. Lauf Riesenslalom Frauen (SRF zwei & Sport App)
03:30 Uhr: Abfahrt Männer (SRF zwei & Sport App)
05:45 Uhr: 2. Lauf Riesenslalom Frauen (SRF zwei & Sport App)

Zum Stream: https://www.srf.ch/sport/resultcenter/ski?eventId=352994",15.02.2018 01:58:18,Photo
379,0,SRF Sport,18,0,0,286,5,29,3,http://www.facebook.com/permalink.php?story_fbid=2075197859172014&id=126546190703867 ,126546190703867_2075197859172014,27873,2,Goodbye Phil Taylor – der neue Darts-König heisst Rob Cross,01.01.2018 23:16:06,Link
380,0,SRF News,1,0,0,40,3,0,1,http://www.facebook.com/permalink.php?story_fbid=1504630766318566&id=289943751120613  ,289943751120613_1504630766318566,17280,1,,01.01.2018 22:11:00,Video
381,0,SRF News,12,0,10,27,4,0,1,http://www.facebook.com/permalink.php?story_fbid=1504590939655882&id=289943751120613 ,289943751120613_1504590939655882,5732,0,"Meryl Streep, Susan Sarandon, Reese Witherspoon und Co. machen sich gegen sexuelle Gewalt am Arbeitsplatz stark. #timesup ^sk",01.01.2018 21:14:58,Link
382,0,SRF Sport,2,0,0,631,15,0,8,http://www.facebook.com/permalink.php?story_fbid=2075079125850554&id=126546190703867,126546190703867_2075079125850554,41756,2,Was für ein Start ins neue Jahr für Melanie Meillard: In Oslo fährt sie erstmals aufs Weltcup-Podest. Und auch Wendy Holdener hat Grund zum Jubeln: https://www.srf.ch/sport/ski-alpin/ski-alpin-allgemein/holdener-in-oslo-zweite-erster-podestplatz-fuer-meillard,01.01.2018 21:12:57,Video
383,0,SRF News,9,0,2,413,14,0,4,http://www.facebook.com/permalink.php?story_fbid=1504531109661865&id=289943751120613,289943751120613_1504531109661865,31397,54,Für rund 10'000 Gehörlose wird die Tagesschau seit 10 Jahren in Gebärdensprache übersetzt. ^mk,01.01.2018 19:48:12,Video
384,0,SRF News,17,11,2,98,8,2,10,http://www.facebook.com/permalink.php?story_fbid=1504485579666418&id=289943751120613,289943751120613_1504485579666418,9867,10,In Kalifornien ist der Konsum von Cannabis ab heute auch als reines Genussmittel erlaubt. ^mk,01.01.2018 18:33:26,Link
385,0,SRF Kultur,4,0,0,60,7,0,0,http://www.facebook.com/permalink.php?story_fbid=1660637930664687&id=106604179401411,106604179401411_1660637930664687,8122,2,"«Mona mittendrin» in der Vergangenheit? «Ich würde eine Zeitreise nur machen, um die Vergangenheit besser zu verstehen», sagt die Moderatorin. https://www.srf.ch/kultur/gesellschaft-religion/momentaufnahmen/experiment-grossvaterparadox-sind-zeitreisen-in-die-vergangenheit-ueberhaupt-denkbar #filosofix Mona Vetsch",01.01.2018 18:02:58,Video
386,0,SRF News,8,1,0,110,1,0,4,http://www.facebook.com/permalink.php?story_fbid=1504394976342145&id=289943751120613,289943751120613_1504394976342145,8909,10,In der Neujahrsnacht brachten 1600 Freiwillige rund 8600 Fest- und Partygänger sicher nach Hause: ein Rekord. ^sk,01.01.2018 16:29:32,Link
387,0,SRF Sport,0,0,5,155,5,0,0,http://www.facebook.com/permalink.php?story_fbid=2074604895897977&id=126546190703867,126546190703867_2074604895897977,47678,3,#Benderer am Hopman Cup: Wie lauten die Neujahrsvorsätze von Roger Federer und Belinda Bencic?,01.01.2018 15:27:47,Video
388,0,SRF News,55,2,22,177,10,0,1,http://www.facebook.com/permalink.php?story_fbid=1504339843014325&id=289943751120613,289943751120613_1504339843014325,18237,11,Bundespräsident Alain Berset hat sein Amt angetreten. In seiner Rede zum neuen Jahr betonte er die Wichtigkeit und das Privileg der direkten Demokratie. ^sk,01.01.2018 15:21:25,Photo
389,0,SRF Kultur,1,0,2,1,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1660627707332376&id=106604179401411,106604179401411_1660627707332376,3482,2,Kann man in der Zeit zurückreisen und die Vergangenheit verändern? Stimmt ab! https://www.srf.ch/kultur/gesellschaft-religion/momentaufnahmen/experiment-grossvaterparadox-sind-zeitreisen-in-die-vergangenheit-ueberhaupt-denkbar #filosofix,01.01.2018 14:45:00,Status
390,0,SRF News,0,0,1,9,0,5,8,http://www.facebook.com/permalink.php?story_fbid=1504304553017854&id=289943751120613,289943751120613_1504304553017854,10697,1,Ein defektes Auto löst in Liverpool einen Brand in einem Parkhaus aus. ^mk,01.01.2018 14:33:37,Video
391,0,SRF Sport,21,0,0,924,16,0,14,http://www.facebook.com/permalink.php?story_fbid=2074494442575689&id=126546190703867,126546190703867_2074494442575689,18264,22,Auf den Sieg an Silvester folgt der Sieg an Neujahr – Dario Cologna prescht dank den 2 Siegen an die Tour-Spitze vor.,01.01.2018 13:56:48,Link
392,0,SRF News,4,0,0,84,1,0,1,http://www.facebook.com/permalink.php?story_fbid=1504229753025334&id=289943751120613,289943751120613_1504229753025334,18308,10,Von Sydney bis New York: So wurde das neue Jahr willkommen geheissen. ^mk,01.01.2018 12:47:30,Video
393,0,SRF DOK,21,0,2,328,5,0,2,http://www.facebook.com/permalink.php?story_fbid=10156530994320348&id=233410473368138,233410473368138_10156530994320348,27789,12,"«Auf und davon – ein Jahr danach» 
Tobias Bayer und Michael Paris sind auf Fuerteventura richtig angekommen. Ihre Bar floriert. Wie es den anderen Protagonisten heute geht? 1. Januar 2018, 20.05 Uhr, SRF 1",01.01.2018 11:32:00,Video
394,0,SRF Kultur,1,0,0,11,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1660607120667768&id=106604179401411,106604179401411_1660607120667768,6789,0,Räumliches Vorstellungsvermögen = O! 🧐 🤓 Warum für Stefan Büsser Zeitreisen undenkbar sind. https://www.srf.ch/kultur/gesellschaft-religion/momentaufnahmen/experiment-grossvaterparadox-sind-zeitreisen-in-die-vergangenheit-ueberhaupt-denkbar #filosofix,01.01.2018 11:30:00,Video
395,0,SRF Kultur,0,0,0,12,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1660421510686329&id=106604179401411,106604179401411_1660421510686329,5336,4,Vor 100 Jahren verfasste Robert Walser die Erzählung «Der Spaziergang». Studierende des Literaturinstituts Biel haben sich zu neuen Spaziergängen inspirieren lassen – Luisa Tschannens Ich-Erzählerin treibt es in die Nacht. (Bild: SRF/Cecilia Bozzoli) https://www.srf.ch/kultur/literatur/100-jahre-der-spaziergang-junge-autoren-interpretieren-walsers-spaziergang-als-hoerspiel,01.01.2018 10:01:00,Video
396,0,SRF Kultur,0,0,0,4,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1637389906322823&id=106604179401411,106604179401411_1637389906322823,2912,0,"Womit kommt ein Filmfreund am besten in die neue Woche? Mit einem Trailer-Klassiker. «Jerry Maguire» von 1996. Cuba Gooding Jr., der am 2. Januar 50 Jahre alt wird, bekam für den Film den Oscar als bester Nebendarsteller.",01.01.2018 08:59:00,Video
397,0,SRF Sport,5,0,1,1046,24,0,20,http://www.facebook.com/permalink.php?story_fbid=2164176253607507&id=126546190703867,126546190703867_2164176253607507,58780,48,Hier könnt ihr euch den WM-Bronze-Lauf von Mujinga Kambundji ansehen! 🥉,02.03.2018 23:31:13,Video
398,0,SRF Sport,16,1,2,1185,28,0,29,http://www.facebook.com/permalink.php?story_fbid=2164145480277251&id=126546190703867,126546190703867_2164145480277251,28231,23,Mujinga Kambundji darf sich über WM-Bronze über 60 m freuen!,02.03.2018 22:54:15,Link
399,0,SRF Kultur,6,0,25,29,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1724076194320860&id=106604179401411,106604179401411_1724076194320860,9888,30,"Was, wenn HAL-9000 Alexa wäre?",02.03.2018 22:00:00,Video
400,0,SRF Sport,6,0,6,192,8,0,0,http://www.facebook.com/permalink.php?story_fbid=2164070813618051&id=126546190703867,126546190703867_2164070813618051,17548,1,Lara Gut möchte die Olympischen Spiele hinter sich lassen.,02.03.2018 21:39:47,Link
401,2,SRF Kultur,0,0,0,10,0,0,0,http://www.facebook.com/permalink.php?story_fbid=1724149747646838&id=106604179401411,106604179401411_1724149747646838,1626,0,Ein Abbild in 3D: Wie die virtuelle Version einer Holocaust-Überlebenden Geschichte näher bringt.,02.03.2018 21:00:00,Link
402,0,SRF News,25,3,0,166,10,42,2,http://www.facebook.com/permalink.php?story_fbid=1564293610352281&id=289943751120613,289943751120613_1564293610352281,24589,70,Ein Kind zu wenig: Bewohner von Haggen (SZ) wehren sich gegen die Schliessung ihrer kleinen Schule. ^rs,02.03.2018 20:45:33,Video
