,Anzahl,Firma,Jahr,Lehrstelle,Ort
151,1,"Brenner AG, Tägerwilen",2019,Entwässerungstechnologe/in (Untersuchen von Entwässerungsanlagen) EFZ,Tägerwilen (TG)
152,1,Guggisberg Dachtechnik AG,2019,Entwässerungstechnologe/in (Warten von Entwässerungsanlagen) EFZ,Wabern (BE)
153,1,Growe AG,2019,Fachmann/-frau Betreuung EFZ,Wichtrach (BE)
154,1,Dawag AG,2019,Fachmann/-frau Betreuung (Behindertenbetreuung) EFZ,Wittenbach (SG)
155,1,Pferdestall Islern GmbH,2019,Fachmann/-frau Betreuung (Betagtenbetreuung) EFZ,Attinghausen (UR)
156,1,Blashalde,2019,Fachmann/-frau Betreuung (Generalistische Ausbildung) EFZ,Beringen (SH)
157,1,Christian Hinder,2019,Fachmann/-frau Betreuung (Kinderbetreuung) EFZ,Bischofszell (TG)
158,1,Thomas Lehner,2019,Fachmann/-frau Betriebsunterhalt EFZ,Braunau (TG)
159,1,Emil Manser-Brülisauer,2019,Fachmann/-frau Betriebsunterhalt (Hausdienst) EFZ,Brülisau (AI)
160,1,Bucheli Bruno u. Cornelia,2019,Fachmann/-frau Betriebsunterhalt (Werkdienst) EFZ,Brunnen (SZ)
161,1,Weibel Lucia,2019,Fachmann/-frau Bewegungs- und Gesundheitsförderung EFZ,Diemtigen (BE)
162,1,Zürcher Daniel,2019,Fachmann/-frau Gesundheit EFZ,Emmenmatt (BE)
163,1,Fritz Stettler,2019,Fachmann/-frau Hauswirtschaft EFZ,Frauenfeld (TG)
164,1,Kündig Erwin,2019,Fachmann/-frau Information und Dokumentation EFZ,Grüningen (ZH)
165,1,Herzog Simon,2019,Fachmann/-frau Kundendialog EFZ,Gundetswil (ZH)
166,1,Solenthaler-Oertle Johannes,2019,Fachmann/-frau Leder und Textil EFZ,Heiden (AR)
167,1,Berger Heinz,2019,Fachmann/-frau Leder und Textil (Fahrzeuge und Technik) EFZ,Hölstein (BL)
168,1,Thomas Meier,2019,Fachmann/-frau Leder und Textil (Feinlederwaren) EFZ,Hörhausen (TG)
169,1,Albert Neuweiler,2019,Fachmann/-frau Leder und Textil (Pferdesport) EFZ,Kreuzlingen (TG)
170,1,Heinz Oswald,2019,Fachmann/-frau öffentlicher Verkehr EFZ,Kümmertshausen (TG)
171,8,Landwirtschaftlicher Lehrbetriebsverbund,2019,Fachmann/-frau öffentlicher Verkehr (Planung) EFZ,Landquart (GR)
172,1,Hannes Ehrat,2019,Fachmann/-frau öffentlicher Verkehr (Zugbegleitung) EFZ,Lohn SH (SH)
173,1,Franz Meier,2019,Fachmann/-frau Textilpflege EFZ,Märstetten (TG)
174,1,A. + A. Schüpbach-Gwerder,2019,Fachmann/-frau Textilpflege (Textilreinigung) EFZ,Neuhausen am Rheinfall (SH)
175,1,MASSERIA AL RONCO,2019,Fachmann/-frau Textilpflege (Wäscherei) EFZ,Novaggio (TI)
176,1,Kobel Werner,2019,Fahrradmechaniker/in EFZ,Oberburg (BE)
177,1,Farner Hanspeter,2019,Fahrzeugschlosser/in EFZ,Oberstammheim (ZH)
178,1,Gisler Josef,2019,Fassadenbauer/in EFZ,Oetwil am See (ZH)
179,1,Christian Feller,2019,Fassadenbaupraktiker/in EBA,Opfershofen TG (TG)
180,1,Werner Beerli,2019,Feinwerkoptiker/in EFZ,Ottoberg (TG)
181,1,Philemon Stauffer,2019,Fleischfachassistent/in EBA,Rheinklingen (TG)
182,1,Abegg Anton,2019,Fleischfachassistent/in (Produktion und Verarbeitung) EBA,Rothenthurm (SZ)
183,1,Grob Gemüse- und Landbau,2019,Fleischfachassistent/in (Vorbereitung und Verkauf) EBA,Schlattingen (TG)
184,1,Simon Schönholzer,2019,Fleischfachmann/-frau EFZ,Schönholzerswilen (TG)
185,1,Christof Stutz,2019,Fleischfachmann/-frau (Feinkost und Veredelung) EFZ,Sirnach (TG)
186,1,Peter Lüthi,2019,Fleischfachmann/-frau (Gewinnung) EFZ,Tägerschen (TG)
187,1,Schurti Leopold,2019,Fleischfachmann/-frau (Verarbeitung) EFZ,Triesen (FL)
188,1,Denzler Urs,2019,Flexodrucker/in EFZ,Truttikon (ZH)
189,1,Kronauer Michael,2019,Florist/in EBA,Wädenswil (ZH)
190,1,Kindlimann Andreas,2019,Florist/in EFZ,Wald ZH (ZH)
191,1,Luzi Tanner,2019,Formenbauer/in EFZ,Winden (TG)
192,1,Sigrist-Keller Franz,2019,Formenpraktiker/in EBA,Wollerau (SZ)
193,1,Portulac,2019,Forstpraktiker/in EBA,Fehraltorf (ZH)
194,1,Grob Gemüse- und Landbau,2019,Forstwart/in EFZ,Schlattingen (TG)
195,1,Risch-Gemüse,2019,Fotofachmann/-frau EFZ,St. Margrethen SG (SG)
196,1,Agrico-Genossenschaft,2019,Fotofachmann/-frau (Beratung und Verkauf) EFZ,Therwil (BL)
197,1,AZIENDA AGRICOLA CROCE,2019,Fotofachmann/-frau (Finishing) EFZ,Campo (Blenio) (TI)
198,1,Santschi Patric,2019,Fotofachmann/-frau (Fotografie) EFZ,La Chaux-de-Fonds (NE)
199,1,Surdez Romain,2019,Fotograf/in EFZ,Les Breuleux (JU)
